ta,tr,rh,vel_r,vel,clo_d,clo,activity_60,age,gender,thermal_sensation,pmv,thermal_comfort,ppd
fan,window,door,heater,t_out,rh_out,t_out_isd,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd
,,,,7.5305,92.75,8.720833333333333,74.66314721308672,24.5,-0.38,8.1,-0.44,9.1,11.5
,,,,7.5305,92.75,8.720833333333333,74.66314721308672,19.7,-1.42,46.8,-1.36,43.5,11.5
,,,,9.41,96.95,9.329166666666667,84.35302361308446,23.9,-0.32,7.1,-0.26,6.4,10.7
,,,,9.41,96.95,9.329166666666667,84.35302361308446,22.5,-0.85,20.1,-0.85,20.1,10.7
,,,,9.41,96.95,9.329166666666667,84.35302361308446,24.4,-0.32,7.1,-0.32,7.1,10.7
,,,,9.41,96.95,9.329166666666667,84.35302361308446,28.7,0.62,13,0.63,13.2,10.7
,,,,9.41,96.95,9.329166666666667,84.35302361308446,,-0.75,16.9,,,10.7
,,,,9.41,96.95,9.329166666666667,84.35302361308446,25.2,0.08,5.1,0.15,5.4,10.7
,,,,9.41,96.95,9.329166666666667,84.35302361308446,21,-1.14,32.4,-1.14,32.4,10.7
,,,,9.41,96.95,9.329166666666667,84.35302361308446,24.3,-0.26,6.4,-0.26,6.4,10.7
,,,,14.19,83.64999999999999,15.554166666666667,63.981626506285856,29.3,0.72,15.8,0.51,10.5,11.4
,,,,14.19,83.64999999999999,15.554166666666667,63.981626506285856,,-0.15,5.5,,,11.4
,,,,14.19,83.64999999999999,15.554166666666667,63.981626506285856,26.5,0.35,7.5,0.35,7.5,11.4
,,,,14.19,83.64999999999999,15.554166666666667,63.981626506285856,26.4,0.27,6.5,0.19,5.7,11.4
,,,,14.19,83.64999999999999,15.554166666666667,63.981626506285856,24.9,0.1,5.2,-0.03,5,11.4
,,,,14.19,83.64999999999999,15.554166666666667,63.981626506285856,,-0.87,20.8,,,11.4
,,,,14.19,83.64999999999999,15.554166666666667,63.981626506285856,21.8,-0.91,22.6,-0.91,22.6,11.4
,,,,14.19,83.64999999999999,15.554166666666667,63.981626506285856,29,0.58,12,0.35,7.6,11.4
,,,,14.19,83.64999999999999,15.554166666666667,63.981626506285856,25.1,-0.15,5.4,-0.18,5.7,11.4
,,,,15.525,60.455,15.320833333333333,44.57677163107456,25.5,-0.08,5.1,-0.12,5.3,12.4
,,,,15.525,60.455,15.320833333333333,44.57677163107456,27.5,0.43,8.8,0.27,6.5,12.4
,,,,15.525,60.455,15.320833333333333,44.57677163107456,26.1,0.08,5.1,0.11,5.2,12.4
,,,,15.525,60.455,15.320833333333333,44.57677163107456,24.1,-0.13,5.3,-0.3,6.9,12.4
